Mesdesubasta;Subasta ;primas
1;1;297.308
2;1;509.139
3;1;397.118
4;1;237.846
5;1;280.319
6;1;237.846
7;1;244.217
8;1;237.846
9;1;297.308
10;1;297.308
11;1;347.213
12;1;347.213
13;1;242.786
14;1;259.691
15;1;320.871
16;1;203.730
17;1;148.920
18;1;208.326
19;1;359.074
20;1;388.765
21;1;359.315
22;1;338.795
23;1;274.931
24;1;317.219
1;2;430.034
2;2;562.761
3;2;479.939
4;2;479.939
5;2;430.034
6;2;367.918
7;2;388.623
8;2;479.939
9;2;388.623
10;2;479.939
11;2;430.034
12;2;479.939
13;2;480.701
14;2;0
15;2;481.844
16;2;485.616
17;2;423.466
18;2;489.624
19;2;458.319
20;2;419.024
21;2;391.644
22;2;0
23;2;381.722
24;2;417.929
1;3;438.529
2;3;388.623
3;3;438.529
4;3;438.529
5;3;438.529
6;3;367.918
7;3;367.918
8;3;397.118
9;3;367.918
10;3;347.213
11;3;388.623
12;3;438.529
13;3;389.902
14;3;420.905
15;3;0
16;3;0
17;3;388.959
18;3;363.289
19;3;0
20;3;476.943
21;3;363.314
22;3;0
23;3;362.219
24;3;361.384
1;4;297.308
2;4;297.308
3;4;244.217
4;4;237.846
5;4;297.308
6;4;297.308
7;4;297.308
8;4;237.846
9;4;297.308
10;4;208.115
11;4;347.213
12;4;347.213
13;4;0
14;4;0
15;4;0
16;4;0
17;4;334.296
18;4;331.369
19;4;0
20;4;239.323
21;4;245.468
22;4;0
23;4;312.206
24;4;357.371
1;5;297.308
2;5;244.217
3;5;237.846
4;5;297.308
5;5;347.213
6;5;297.308
7;5;244.217
8;5;237.846
9;5;244.217
10;5;246.871
11;5;347.213
12;5;244.217
13;5;0
14;5;122.100
15;5;0
16;5;338.207
17;5;238.165
18;5;215.070
19;5;334.415
20;5;0
21;5;0
22;5;0
23;5;359.971
24;5;342.302
1;6;237.846
2;6;237.846
3;6;161.396
4;6;237.846
5;6;244.217
6;6;297.308
7;6;237.846
8;6;115.738
9;6;208.115
10;6;59.462
11;6;191.126
12;6;237.846
13;6;481.743
14;6;478.762
15;6;362.223
16;6;0
17;6;361.182
18;6;364.978
19;6;243.481
20;6;239.675
21;6;336.311
22;6;0
23;6;290.009
24;6;331.756
1;7;67.956
2;7;67.956
3;7;59.462
4;7;59.462
5;7;84.945
6;7;67.956
7;7;59.462
8;7;59.462
9;7;59.462
10;7;0
11;7;84.945
12;7;67.956
13;7;240.220
14;7;242.507
15;7;292.764
16;7;360.892
17;7;243.635
18;7;218.789
19;7;242.116
20;7;179.870
21;7;216.107
22;7;0
23;7;166.660
24;7;163.969
1;8;59.462
2;8;50.967
3;8;50.967
4;8;59.462
5;8;59.462
6;8;59.462
7;8;59.462
8;8;59.462
9;8;59.462
10;8;0
11;8;67.956
12;8;67.956
13;8;0
14;8;0
15;8;362.590
16;8;0
17;8;365.614
18;8;362.638
19;8;0
20;8;242.425
21;8;241.431
22;8;0
23;8;167.533
24;8;216.044
1;9;59.462
2;9;50.967
3;9;50.967
4;9;50.967
5;9;59.462
6;9;59.462
7;9;59.462
8;9;59.462
9;9;59.462
10;9;0
11;9;89.192
12;9;89.192
13;9;0
14;9;0
15;9;362.334
16;9;0
17;9;299.473
18;9;302.601
19;9;0
20;9;245.463
21;9;244.643
22;9;0
23;9;240.505
24;9;239.820
1;10;59.462
2;10;50.967
3;10;50.967
4;10;50.967
5;10;59.462
6;10;59.462
7;10;59.462
8;10;59.462
9;10;59.462
10;10;0
11;10;89.192
12;10;89.192
13;10;145.716
14;10;241.127
15;10;143.318
16;10;242.010
17;10;244.364
18;10;238.522
19;10;239.718
20;10;241.725
21;10;142.741
22;10;238.271
23;10;181.543
24;10;181.862
1;11;0
2;11;0
3;11;0
4;11;0
5;11;0
6;11;0
7;11;0
8;11;0
9;11;0
10;11;0
11;11;0
12;11;0
13;11;120.966
14;11;182.766
15;11;119.153
16;11;262.961
17;11;180.805
18;11;217.501
19;11;241.556
20;11;150.280
21;11;122.486
22;11;218.099
23;11;143.787
24;11;86.087
1;12;0
2;12;0
3;12;0
4;12;0
5;12;0
6;12;0
7;12;0
8;12;0
9;12;0
10;12;0
11;12;0
12;12;0
13;12;119.866
14;12;150.101
15;12;121.974
16;12;269.016
17;12;150.206
18;12;219.204
19;12;180.357
20;12;182.482
21;12;121.622
22;12;215.948
23;12;142.952
24;12;86.478
1;13;0
2;13;0
3;13;0
4;13;0
5;13;0
6;13;0
7;13;0
8;13;0
9;13;0
10;13;0
11;13;0
12;13;0
13;13;143.584
14;13;239.033
15;13;143.366
16;13;239.014
17;13;240.736
18;13;166.901
19;13;240.268
20;13;219.797
21;13;122.592
22;13;144.481
23;13;121.019
24;13;83.231
1;14;0
2;14;0
3;14;0
4;14;0
5;14;0
6;14;0
7;14;0
8;14;0
9;14;0
10;14;0
11;14;0
12;14;0
13;14;121.936
14;14;181.203
15;14;119.558
16;14;266.536
17;14;182.769
18;14;119.321
19;14;151.627
20;14;181.452
21;14;118.284
22;14;121.941
23;14;141.575
24;14;21.190
1;15;0
2;15;0
3;15;0
4;15;0
5;15;0
6;15;0
7;15;0
8;15;0
9;15;0
10;15;0
11;15;0
12;15;0
13;15;0
14;15;0
15;15;0
16;15;18.520
17;15;0
18;15;0
19;15;0
20;15;0
21;15;0
22;15;0
23;15;0
24;15;0
