Date;close;open;high;low
12/08/2013;3,31;3,325;3,325;3,31
13/08/2013;3,285;3,304;3,334;3,262
14/08/2013;3,342;3,298;3,376;3,285
15/08/2013;3,419;3,341;3,433;3,303
16/08/2013;3,368;3,365;3,368;3,365
19/08/2013;3,463;3,392;3,501;3,385
20/08/2013;3,444;3,49;3,49;3,44
21/08/2013;3,46;3,46;3,46;3,46
22/08/2013;3,545;3,47;3,559;3,451
23/08/2013;3,485;3,51;3,51;3,485
26/08/2013;3,513;3,49;3,513;3,49
27/08/2013;3,534;3,465;3,534;3,465
28/08/2013;3,566;3,5;3,58;3,5
29/08/2013;3,618;3,615;3,618;3,615
30/08/2013;3,581;3,624;3,653;3,566
03/09/2013;3,666;3,601;3,689;3,601
04/09/2013;3,683;3,669;3,683;3,643
05/09/2013;3,575;3,61;3,615;3,575
06/09/2013;3,53;3,575;3,595;3,517
09/09/2013;3,605;3,58;3,605;3,58
10/09/2013;3,584;3,57;3,584;3,56
11/09/2013;3,567;3,535;3,567;3,527
12/09/2013;3,638;3,558;3,665;3,537
13/09/2013;3,677;3,662;3,677;3,661
16/09/2013;3,738;3,715;3,738;3,715
17/09/2013;3,745;3,741;3,776;3,72
18/09/2013;3,713;3,686;3,713;3,686
19/09/2013;3,72;3,75;3,77;3,685
20/09/2013;3,687;3,712;3,715;3,656
23/09/2013;3,602;3,681;3,681;3,592
24/09/2013;3,492;3,593;3,617;3,488
25/09/2013;3,493;3,509;3,546;3,49
26/09/2013;3,498;3,485;3,515;3,455
27/09/2013;3,589;3,581;3,608;3,521
30/09/2013;3,56;3,581;3,583;3,509
01/10/2013;3,609;3,557;3,653;3,536
02/10/2013;3,542;3,608;3,647;3,533
03/10/2013;3,499;3,542;3,57;3,49
04/10/2013;3,506;3,509;3,535;3,482
07/10/2013;3,629;3,53;3,661;3,519
08/10/2013;3,716;3,637;3,73;3,633
09/10/2013;3,679;3,724;3,734;3,673
10/10/2013;3,723;3,699;3,795;3,683
11/10/2013;3,776;3,728;3,792;3,726
14/10/2013;3,82;3,815;3,855;3,758
15/10/2013;3,79;3,821;3,855;3,773
16/10/2013;3,769;3,813;3,869;3,757
17/10/2013;3,757;3,775;3,801;3,727
18/10/2013;3,764;3,759;3,785;3,685
21/10/2013;3,668;3,795;3,838;3,654
22/10/2013;3,581;3,669;3,669;3,573
23/10/2013;3,619;3,593;3,639;3,577
24/10/2013;3,629;3,617;3,645;3,545
25/10/2013;3,707;3,63;3,731;3,593
28/10/2013;3,569;3,678;3,681;3,557
29/10/2013;3,497;3,55;3,55;3,495
30/10/2013;3,62;3,64;3,662;3,61
31/10/2013;3,581;3,638;3,659;3,56
01/11/2013;3,513;3,574;3,578;3,508
04/11/2013;3,445;3,475;3,475;3,406
05/11/2013;3,466;3,443;3,491;3,379
06/11/2013;3,498;3,482;3,547;3,453
07/11/2013;3,519;3,495;3,622;3,483
08/11/2013;3,559;3,52;3,589;3,51
11/11/2013;3,574;3,565;3,574;3,565
12/11/2013;3,617;3,581;3,656;3,561
13/11/2013;3,566;3,646;3,662;3,54
14/11/2013;3,605;3,556;3,624;3,491
15/11/2013;3,66;3,612;3,667;3,575
18/11/2013;3,617;3,681;3,705;3,611
19/11/2013;3,556;3,614;3,647;3,545
20/11/2013;3,674;3,558;3,681;3,549
21/11/2013;3,702;3,67;3,743;3,661
22/11/2013;3,768;3,703;3,787;3,682
25/11/2013;3,789;3,814;3,849;3,753
26/11/2013;3,818;3,81;3,83;3,805
27/11/2013;3,895;3,89;3,907;3,89
29/11/2013;3,954;3,898;3,962;3,873
02/12/2013;3,988;3,911;3,993;3,897
03/12/2013;3,976;3,975;4,017;3,945
04/12/2013;3,96;3,98;4,013;3,953
05/12/2013;4,132;3,965;4,152;3,951
06/12/2013;4,114;4,144;4,199;4,103
09/12/2013;4,232;4,148;4,248;4,139
10/12/2013;4,237;4,24;4,287;4,199
11/12/2013;4,337;4,251;4,348;4,172
12/12/2013;4,409;4,345;4,434;4,307
13/12/2013;4,351;4,389;4,443;4,341
16/12/2013;4,279;4,275;4,318;4,203
17/12/2013;4,287;4,265;4,326;4,194
18/12/2013;4,251;4,288;4,334;4,244
19/12/2013;4,46;4,445;4,46;4,445
20/12/2013;4,418;4,471;4,492;4,402
23/12/2013;4,463;4,49;4,532;4,456
24/12/2013;4,416;4,469;4,486;4,384
26/12/2013;4,433;4,439;4,465;4,377
