Date;close;open;high;low;
09.08.2022;9,5;9,62;9,62;9,5;
08.08.2022;9,5;9,5;9,5;9,5;
05.08.2022;9,5;9,5;9,5;9,5;
04.08.2022;9,5;9,5;9,5;9,5;
03.08.2022;9,5;9,5;9,5;9,5;
02.08.2022;9,5;9,5;9,08;9,08;
01.08.2022;9,5;9,75;9,45;9,05;
29.07.2022;9,75;9,25;9,5;9,5;
28.07.2022;9,25;9,25;9,25;9,25;
27.07.2022;9,25;9,25;9,25;9,25;
26.07.2022;9,25;9,1;9,5;9,1;
25.07.2022;9,1;9,1;9,1;9,1;
22.07.2022;9,1;8,65;9,4;8,97;
21.07.2022;8,65;9,13;9;8,5;
20.07.2022;9,13;9,25;9,17;9;
19.07.2022;9,25;9,25;9,25;9,25;
18.07.2022;9,25;9,25;9,25;9,25;
15.07.2022;9,25;9,5;9,35;9,35;
14.07.2022;9,5;9,5;9;9;
13.07.2022;9,5;9,5;9,5;9,5;
12.07.2022;9,5;9,5;9,67;9,05;
11.07.2022;9,5;9,5;9,5;9,5;
08.07.2022;9,5;9,5;9,5;9,5;
07.07.2022;9,5;9,5;9,05;9,05;
06.07.2022;9,5;9,75;9,72;9,05;
05.07.2022;9,75;9,75;9,75;9,75;
04.07.2022;9,75;9,75;9,72;9,72;
01.07.2022;9,75;9,75;9,75;9,75;
30.06.2022;9,75;9,75;9,2;9,2;
29.06.2022;9,75;9,75;9,74;9,74;
28.06.2022;9,75;9,75;9,2;9,2;
27.06.2022;9,75;9,75;9,75;9,75;
24.06.2022;9,75;9,75;9;9;
23.06.2022;9,75;10,25;10;9,01;
22.06.2022;10,25;11,25;10,4;10;
21.06.2022;11,25;12;11,2;10,45;
20.06.2022;12;12;12;12;
17.06.2022;12;12;12;12;
16.06.2022;12;12;11,35;11,35;
15.06.2022;12;12;12,7;12,02;
14.06.2022;12;12;12;12;
13.06.2022;12;12;12;12;
10.06.2022;12;12;12;12;
09.06.2022;12;12;12;12;
08.06.2022;12;12;12;12;
07.06.2022;12;12;12;12;
06.06.2022;12;12;11,35;11,35;
01.06.2022;12;12;12;12;
31.05.2022;12;12;12;12;
30.05.2022;12;12;12;12;
27.05.2022;12;12;12;12;
26.05.2022;12;12;11,35;11,35;
25.05.2022;12;12;11,35;11,35;
24.05.2022;12;12;12;12;
23.05.2022;12;12;12;12;
20.05.2022;12;12;11,6;11,6;
19.05.2022;12;12;11,6;11,6;
18.05.2022;12;12;12;12;
17.05.2022;12;12;11,6;11,6;
16.05.2022;12;12;11,6;11,6;
13.05.2022;12;12;11,6;11,6;
12.05.2022;12;12;12,9;12,26;
11.05.2022;12;12;11,22;11,22;
10.05.2022;12;12;12;12;
09.05.2022;12;11,75;12,27;11,22;
06.05.2022;11,75;13;12,9;12;
05.05.2022;13;12;13,8;11,3;
04.05.2022;11,25;11,25;11;10,73;
03.05.2022;11,25;11,25;11;11;
29.04.2022;11,25;11,25;11;11;
28.04.2022;11,25;11,25;11,75;11,75;
27.04.2022;11,25;11,25;11,25;11,25;
26.04.2022;11,25;11,25;10,9;10,9;
25.04.2022;11,25;11,25;11,77;11,77;
22.04.2022;11,25;11,25;11,77;11,77;
21.04.2022;11,25;11,25;11,78;11,78;
20.04.2022;11,25;10,25;11,8;10,48;
19.04.2022;10,25;10,25;10,48;10,05;
14.04.2022;10,25;10,25;10,25;10,25;
13.04.2022;10,25;10,13;10,45;10,45;
12.04.2022;10,13;10,13;10,46;9,85;
11.04.2022;10,13;10,13;9,77;9,77;
08.04.2022;10,13;10,13;10;10;
07.04.2022;10,13;10,38;10,46;10,46;
06.04.2022;10,38;10,5;10,12;10;
05.04.2022;10,5;10,5;10,5;10,5;
04.04.2022;10,5;10,5;10,5;10,5;
01.04.2022;10,5;10,5;10,5;10,5;
31.03.2022;10,5;10,5;10,14;10,12;
30.03.2022;10,5;10,5;10,12;10,12;
29.03.2022;10,5;11,25;11;10,5;
28.03.2022;11,25;11,25;11,25;11,25;
25.03.2022;11,25;11,25;10,57;10,57;
24.03.2022;11,25;11,25;11,25;11,25;
23.03.2022;11,25;11,25;11,25;11,25;
22.03.2022;11,25;11,25;11,25;11,25;
21.03.2022;11,25;11,25;10,57;10,57;
18.03.2022;11,25;11,25;11,25;11,25;
17.03.2022;11,25;11,5;11,05;11,05;
16.03.2022;11,5;11,5;11,05;11,05;
15.03.2022;11,5;11,5;11,05;11,05;
14.03.2022;11,5;10,13;11,76;10,25;
11.03.2022;10,13;10,13;10,13;10,13;
10.03.2022;10,13;10,13;10,35;10,35;
09.03.2022;10,13;10,38;9,75;9,75;
08.03.2022;10,38;10,5;9,75;9,75;
07.03.2022;10,5;10,5;10,1;10,1;
04.03.2022;10,5;10,5;10,5;10,5;
