Mes; Subasta1; Subasta2; Subasta3; Subasta4; Subasta5; Subasta6; Subasta7; Subasta8; Subasta9; Subasta10; Subasta11; Subasta12; Subasta13; Subasta14; Subasta15; Subasta16; Subasta17; Subasta18; Subasta19; Subasta20; Subasta21;" Subasta22"""
1;388837;0;0;0;0;0;0;0;78234;0;0;0;29641;616398;98252;442150;458551;271733;1025227;1648919;4824806;"1999629"""
2;0;98410;111763;0;0;111763;0;111763;0;181614;111919;0;29641;359455;0;484777;0;0;1082980;1704323;3702417;"2007576"""
3;0;181614;78234;111763;0;0;0;0;0;0;0;0;0;121892;0;0;0;0;0;0;3602009;"0"""
4;0;0;111763;0;0;0;0;0;0;0;121338;0;96086;364886;0;0;0;0;0;0;3008860;"0"""
5;600000;0;0;0;0;0;0;0;0;0;241098;0;0;1448918;0;0;0;0;0;0;0;"0"""
6;473366;0;0;0;0;0;0;0;0;0;0;0;359826;0;0;0;0;0;0;0;0;"0"""
7;0;321317;0;0;0;0;0;0;0;0;0;0;92222;0;0;480845;0;0;0;0;0;"0"""
8;600000;0;0;0;0;0;0;0;0;0;0;0;149231;0;0;0;0;0;0;0;0;"0"""
9;473366;321317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0"""
10;0;0;0;321317;0;251466;321317;0;321317;0;0;0;239945;178090;479012;0;0;387334;0;1204135;0;"0"""
11;473366;0;0;0;0;251466;0;321317;321317;0;0;0;242617;0;965149;391907;419258;422120;0;0;0;"0"""
12;473366;391169;321317;0;321317;233304;233304;324810;321317;321317;239728;0;182665;266277;356808;342881;418481;454161;478173;928278;2825882;"1567029"""
