step;N_subasta;mes_subastado;slots_ofertados;ronda;N total de ronda;fee;excess %
1;1;01/10/2020;2;0;5;33978;350
2;1;01/10/2020;2;1;5;135248;150
3;1;01/10/2020;2;2;5;177512;50
4;1;01/10/2020;2;3;5;219777;100
5;1;01/10/2020;2;4;5;304307;100
6;1;01/10/2020;2;5;5;388837;0
7;1;01/11/2020;0;0;0;33978;0
8;1;01/12/2020;0;0;0;33978;0
9;1;01/01/2021;0;0;0;33978;0
10;1;01/02/2021;1;0;2;33978;600
11;1;01/02/2021;1;1;2;135248;500
12;1;01/02/2021;1;2;2;473366;0
13;1;01/03/2021;1;0;2;33978;700
15;1;01/03/2021;1;2;2;473366;0
16;1;01/04/2021;0;0;0;33978;0
17;1;01/05/2021;2;0;2;33978;600
18;1;01/05/2021;2;1;2;135248;450
19;1;01/05/2021;2;2;2;473366;0
20;1;01/06/2021;2;0;2;33978;550
21;1;01/06/2021;2;1;2;135248;350
22;1;01/06/2021;2;2;2;473366;0
23;1;01/07/2021;0;0;0;33978;0
24;1;01/08/2021;6;0;2;33978;433
25;1;01/08/2021;6;1;2;135248;267
26;1;01/08/2021;6;2;2;473366;17
27;1;01/08/2021;6;2.1;2;219777;117
28;1;01/08/2021;6;2.2;2;304307;100
29;1;01/08/2021;6;2.3;2;388837;0
30;1;01/09/2021;2;0;2;33978;800
31;1;01/09/2021;2;1;2;135248;550
32;1;01/09/2021;2;2;2;473366;50
33;1;01/09/2021;2;2.1;2;219777;400
34;1;01/09/2021;2;2.2;2;304307;350
35;1;01/09/2021;2;2.3;2;388837;0
36;2;01/11/2020;6;0;0;33978;0
37;2;01/12/2020;4;0;1;33978;50
38;2;01/12/2020;4;1;1;98410;50
39;2;01/01/2021;2;0;3;33978;200
40;2;01/01/2021;2;1;3;111763;150
41;2;01/01/2021;2;2;3;391169;100
42;2;01/01/2021;2;3;3;181614;0
43;2;01/02/2021;0;0;0;33978;0
44;2;01/03/2021;0;0;0;33978;0
45;2;01/04/2021;0;0;0;33978;0
46;2;01/05/2021;2;0;4;33978;400
47;2;01/05/2021;2;1;2;111763;350
48;2;01/05/2021;2;2;2;391169;50
49;2;01/06/2021;0;0;0;33978;0
50;2;01/07/2021;2;0;2;33978;500
51;2;01/07/2021;2;1;2;111763;400
52;2;01/07/2021;2;2;2;391169;50
53;2;01/07/2021;2;2.1;2;181614;350
54;2;01/08/2021;0;0;0;33978;0
55;2;01/09/2021;0;0;0;33978;0
56;2;01/10/2021;6;0;2;33978;267
57;2;01/10/2021;6;1;2;111763;217
58;2;01/10/2021;6;2;2;391169;0
59;3;01/12/2021;6;0;0;33978;0
60;3;01/01/2021;1;0;1;33978;100
61;3;01/01/2021;3;1;1;111763;0
62;3;01/02/2021;2;0;1;33978;33
63;3;01/02/2021;0;1;1;78234;0
64;3;01/03/2021;0;0;1;33978;200
65;3;01/03/2021;0;1;1;111763;0
66;3;01/04/2021;0;0;0;33978;0
67;3;01/05/2021;0;0;0;33978;0
68;3;01/06/2021;0;0;0;33978;0
69;3;01/07/2021;0;0;0;33978;0
70;3;01/08/2021;0;0;0;33978;0
71;3;01/09/2021;0;0;0;33978;0
72;3;01/10/2021;0;0;0;33978;0
73;3;01/11/2021;9;0;0;33978;144
74;3;01/11/2021;9;1;2;111763;89
75;3;01/11/2021;9;2;2;391169;33
76;3;01/11/2021;9;2.1;2;181614;56
77;3;01/11/2021;9;2.2;2;251466;22
78;3;01/11/2021;9;2.3;2;321317;0
79;4;01/01/2021;1;0;0;33978;0
80;4;01/02/2021;2;0;0;33978;0
81;4;01/03/2021;2;0;0;33978;0
82;4;01/04/2021;0;0;0;33978;0
83;4;01/05/2021;1;0;3;33978;400
85;4;01/07/2021;0;0;0;33978;0
86;4;01/08/2021;0;0;0;33978;0
87;4;01/09/2021;0;0;0;33978;0
88;4;01/10/2021;0;0;0;33978;0
89;4;01/11/2021;0;0;0;33978;0
90;4;01/12/2021;6;0;6;33978;150
91;4;01/12/2021;6;1;2;111763;117
92;4;01/12/2021;6;2;2;391169;33
93;4;01/12/2021;6;2.1;2;181614;83
94;4;01/12/2021;6;2.2;2;251466;50
95;4;01/12/2021;6;2.4;2;391169;0
96;5;01/02/2021;3;0;0;33978;0
97;5;01/03/2021;0;0;0;33978;0
98;5;01/04/2021;0;0;0;33978;0
99;5;01/05/2021;0;0;0;33978;0
100;5;01/06/2021;0;0;0;33978;0
101;5;01/07/2021;0;0;0;33978;0
103;5;01/09/2021;0;0;0;33978;0
104;5;01/10/2021;0;0;0;33978;0
105;5;01/11/2021;0;0;0;33978;0
106;5;01/12/2021;2;0;2;33978;600
107;5;01/12/2021;2;1;2;111763;300
108;5;01/12/2021;2;2;2;391169;100
109;5;01/12/2021;2;2.1;2;181614;200
110;5;01/12/2021;2;2.2;2;251466;100
111;5;01/12/2021;2;2.3;2;321317;0
112;5;01/01/2022;12;0;2;33978;117
113;5;01/01/2022;12;1;2;111763;58
114;5;01/01/2022;12;2;2;312935;17
115;5;01/01/2022;12;2.1;2;162056;50
116;5;01/01/2022;12;2.2;2;212349;33
117;5;01/01/2022;12;2.3;2;262642;0
118;6;01/03/2021;1;0;0;33978;0
119;6;01/04/2021;1;0;1;33978;400
120;6;01/04/2021;1;1;1;111763;0
121;6;01/05/2021;0;0;0;33978;0
122;6;01/06/2021;0;0;0;33978;0
123;6;01/07/2021;0;0;0;33978;0
124;6;01/08/2021;0;0;0;33978;0
125;6;01/09/2021;0;0;0;33978;0
126;6;01/10/2021;0;0;0;33978;0
127;6;01/11/2021;0;0;0;33978;0
128;6;01/12/2021;2;0;2;33978;550
129;6;01/12/2021;2;1;2;111763;350
130;6;01/12/2021;2;2;2;391169;50
131;6;01/12/2021;2;2.1;2;181614;250
132;6;01/12/2021;2;2.3;2;321317;0
133;6;01/01/2022;2;0;2;33978;550
134;6;01/01/2022;2;1;2;111763;350
135;6;01/01/2022;2;2;2;391169;50
136;6;01/01/2022;2;2.1;2;181614;200
137;6;01/01/2022;2;2.3;2;321317;0
138;6;01/02/2022;11;0;2;33978;109
139;6;01/02/2022;11;1;2;111763;36
140;6;01/02/2022;11;2;2;273818;9
141;6;01/02/2022;11;2.1;2;152276;18
142;6;01/02/2022;11;2.2;2;192790;18
143;6;01/02/2022;11;2.3;2;233304;0
144;7;01/04/2021;0;0;0;33978;0
145;7;01/05/2021;0;0;0;33978;0
146;7;01/06/2021;0;0;0;33978;0
147;7;01/07/2021;0;0;0;33978;0
148;7;01/08/2021;0;0;0;33978;0
149;7;01/09/2021;0;0;0;33978;0
150;7;01/10/2021;0;0;0;33978;0
151;7;01/11/2021;0;0;0;33978;0
152;7;01/12/2021;0;0;0;33978;0
153;7;01/01/2022;1;0;2;33978;600
154;7;01/01/2022;1;1;2;111763;400
155;7;01/01/2022;1;2;2;391169;100
156;7;01/01/2022;1;2.1;2;181614;200
157;7;01/01/2022;1;2.2;2;251466;100
158;7;01/01/2022;1;2.3;2;321317;0
159;7;01/02/2022;0;0;0;33978;0
160;7;01/03/2022;11;0;2;33978;80
161;7;01/03/2022;11;1;2;111763;30
162;7;01/03/2022;11;2;2;273818;30
163;7;01/03/2022;11;2.1;2;152276;20
164;7;01/03/2022;11;2.2;2;192790;10
165;7;01/03/2022;11;2.4;2;273818;0
