step;Mes;mes_subastado;slots_ofertados;ronda;N total de ronda;fee;excess;HH
1;1;1;2;0;5;33978;350;2.53
2;1;1;2;1;5;135248;150;2.53
3;1;1;2;2;5;177512;50;2.53
4;1;1;2;3;5;219777;100;2.53
5;1;1;2;4;5;304307;100;2.53
6;1;1;2;5;5;388837;0;2.53
7;1;2;0;0;0;33978;0;2.53
8;1;3;0;0;0;33978;0;2.53
9;1;4;0;0;0;33978;0;2.53
10;1;5;1;0;2;33978;600;2.53
11;1;5;1;1;2;135248;500;2.53
12;1;5;1;2;2;473366;0;2.53
13;1;6;1;0;2;33978;700;2.53
14;1;6;1;2;2;473366;0;2.53
15;1;7;0;0;0;33978;0;2.53
16;1;8;2;0;2;33978;600;2.53
17;1;8;2;1;2;135248;450;2.53
18;1;8;2;2;2;473366;0;2.53
19;1;9;2;0;2;33978;550;2.53
20;1;9;2;1;2;135248;350;2.53
21;1;9;2;2;2;473366;0;2.53
22;1;10;0;0;0;33978;0;2.53
23;1;11;6;0;2;33978;433;2.53
24;1;11;6;1;2;135248;267;2.53
25;1;11;6;2;2;473366;17;2.53
26;1;11;6;2.1;2;219777;117;2.53
27;1;11;6;2.2;2;304307;100;2.53
28;1;11;6;2.3;2;388837;0;2.53
29;1;12;2;0;2;33978;800;2.53
30;1;12;2;1;2;135248;550;2.53
31;1;12;2;2;2;473366;50;2.53
32;1;12;2;2.1;2;219777;400;2.53
33;1;12;2;2.2;2;304307;350;2.53
34;1;12;2;2.3;2;388837;0;2.53
35;2;2;6;0;0;33978;0;2.53
36;2;3;4;0;1;33978;50;2.53
37;2;3;4;1;1;98410;50;2.53
38;2;4;2;0;3;33978;200;2.53
39;2;4;2;1;3;111763;150;2.53
40;2;4;2;2;3;391169;100;2.53
41;2;4;2;3;3;181614;0;2.53
42;2;5;0;0;0;33978;0;2.53
43;2;6;0;0;0;33978;0;2.53
44;2;7;0;0;0;33978;0;2.53
45;2;8;2;0;4;33978;400;2.53
46;2;8;2;1;2;111763;350;2.53
47;2;8;2;2;2;391169;50;2.53
48;2;9;0;0;0;33978;0;2.53
49;2;10;2;0;2;33978;500;2.53
50;2;10;2;1;2;111763;400;2.53
51;2;10;2;2;2;391169;50;2.53
52;2;10;2;2.1;2;181614;350;2.53
53;2;11;0;0;0;33978;0;2.53
54;2;12;0;0;0;33978;0;2.53
55;2;13;6;0;2;33978;267;2.53
56;2;13;6;1;2;111763;217;2.53
57;2;13;6;2;2;391169;0;2.53
58;3;15;6;0;0;33978;0;3.24
59;3;4;1;0;1;33978;100;3.24
60;3;4;3;1;1;111763;0;3.24
61;3;5;2;0;1;33978;33;3.24
62;3;5;0;1;1;78234;0;3.24
63;3;6;0;0;1;33978;200;3.24
64;3;6;0;1;1;111763;0;3.24
65;3;7;0;0;0;33978;0;3.24
66;3;8;0;0;0;33978;0;3.24
67;3;9;0;0;0;33978;0;3.24
68;3;10;0;0;0;33978;0;3.24
69;3;11;0;0;0;33978;0;3.24
70;3;12;0;0;0;33978;0;3.24
71;3;13;0;0;0;33978;0;3.24
72;3;14;9;0;0;33978;144;3.24
73;3;14;9;1;2;111763;89;3.24
74;3;14;9;2;2;391169;33;3.24
75;3;14;9;2.1;2;181614;56;3.24
76;3;14;9;2.2;2;251466;22;3.24
77;3;14;9;2.3;2;321317;0;3.24
78;4;4;1;0;0;33978;0;3.24
79;4;5;2;0;0;33978;0;3.24
80;4;6;2;0;0;33978;0;3.24
81;4;7;0;0;0;33978;0;3.24
82;4;8;1;0;3;33978;400;3.24
83;4;10;0;0;0;33978;0;3.24
84;4;11;0;0;0;33978;0;3.24
85;4;12;0;0;0;33978;0;3.24
86;4;13;0;0;0;33978;0;3.24
87;4;14;0;0;0;33978;0;3.24
88;4;15;6;0;6;33978;150;3.24
89;4;15;6;1;2;111763;117;3.24
90;4;15;6;2;2;391169;33;3.24
91;4;15;6;2.1;2;181614;83;3.24
92;4;15;6;2.2;2;251466;50;3.24
93;4;15;6;2.4;2;391169;0;3.24
94;5;5;3;0;0;33978;0;2.58
95;5;6;0;0;0;33978;0;2.58
96;5;7;0;0;0;33978;0;2.58
97;5;8;0;0;0;33978;0;2.58
98;5;9;0;0;0;33978;0;2.58
99;5;10;0;0;0;33978;0;2.58
100;5;12;0;0;0;33978;0;2.58
101;5;13;0;0;0;33978;0;2.58
102;5;14;0;0;0;33978;0;2.58
103;5;15;2;0;2;33978;600;2.58
104;5;15;2;1;2;111763;300;2.58
105;5;15;2;2;2;391169;100;2.58
106;5;15;2;2.1;2;181614;200;2.58
107;5;15;2;2.2;2;251466;100;2.58
108;5;15;2;2.3;2;321317;0;2.58
109;5;16;12;0;2;33978;117;2.58
110;5;16;12;1;2;111763;58;2.58
111;5;16;12;2;2;312935;17;2.58
112;5;16;12;2.1;2;162056;50;2.58
113;5;16;12;2.2;2;212349;33;2.58
114;5;16;12;2.3;2;262642;0;2.58
115;6;6;1;0;0;33978;0;2.85
116;6;7;1;0;1;33978;400;2.85
117;6;7;1;1;1;111763;0;2.85
118;6;8;0;0;0;33978;0;2.85
119;6;9;0;0;0;33978;0;2.85
120;6;10;0;0;0;33978;0;2.85
121;6;11;0;0;0;33978;0;2.85
122;6;12;0;0;0;33978;0;2.85
123;6;13;0;0;0;33978;0;2.85
124;6;14;0;0;0;33978;0;2.85
125;6;15;2;0;2;33978;550;2.85
126;6;15;2;1;2;111763;350;2.85
127;6;15;2;2;2;391169;50;2.85
128;6;15;2;2.1;2;181614;250;2.85
129;6;15;2;2.3;2;321317;0;2.85
130;6;16;2;0;2;33978;550;2.85
131;6;16;2;1;2;111763;350;2.85
132;6;16;2;2;2;391169;50;2.85
133;6;16;2;2.1;2;181614;200;2.85
134;6;16;2;2.3;2;321317;0;2.85
135;6;17;11;0;2;33978;109;2.85
136;6;17;11;1;2;111763;36;2.85
137;6;17;11;2;2;273818;9;2.85
138;6;17;11;2.1;2;152276;18;2.85
139;6;17;11;2.2;2;192790;18;2.85
140;6;17;11;2.3;2;233304;0;2.85
141;7;7;0;0;0;33978;0;2.72
142;7;8;0;0;0;33978;0;2.72
143;7;9;0;0;0;33978;0;2.72
144;7;10;0;0;0;33978;0;2.72
145;7;11;0;0;0;33978;0;2.72
