periodo_subasta;mes_subastado;slots_ofertados;ronda;N total de ronda;fee;excess %
01/09/2020;01/10/2020;2;0;5;33.978;350%
01/09/2020;01/10/2020;2;1;5;135.248;150%
01/09/2020;01/10/2020;2;2;5;177.512;50%
01/09/2020;01/10/2020;2;3;5;219.777;100%
01/09/2020;01/10/2020;2;4;5;304.307;100%
01/09/2020;01/10/2020;2;5;5;388.837;0%
01/09/2020;01/11/2020;0;0;0;33.978;0%
01/09/2020;01/12/2020;0;0;0;33.978;0%
01/09/2020;01/01/2021;0;0;0;33.978;0%
01/09/2020;01/02/2021;1;0;2;33.978;600%
01/09/2020;01/02/2021;1;1;2;135.248;500%
01/09/2020;01/02/2021;1;2;2;473.366;0%
01/09/2020;01/03/2021;1;0;2;33.978;700%
01/09/2020;01/03/2021;1;1;2;135.248;700%
01/09/2020;01/03/2021;1;2;2;473.366;0%
01/09/2020;01/04/2021;0;0;0;33.978;0%
01/09/2020;01/05/2021;2;0;2;33.978;600%
01/09/2020;01/05/2021;2;1;2;135.248;450%
01/09/2020;01/05/2021;2;2;2;473.366;0%
01/09/2020;01/06/2021;2;0;2;33.978;550%
01/09/2020;01/06/2021;2;1;2;135.248;350%
01/09/2020;01/06/2021;2;2;2;473.366;0%
01/09/2020;01/07/2021;0;0;0;33.978;0%
01/09/2020;01/08/2021;6;0;2;33.978;433%
01/09/2020;01/08/2021;6;1;2;135.248;267%
01/09/2020;01/08/2021;6;2;2;473.366;17%
01/09/2020;01/08/2021;6;2.1;2;219.777;117%
01/09/2020;01/08/2021;6;2.2;2;304.307;100%
01/09/2020;01/08/2021;6;2.3;2;388.837;0%
01/09/2020;01/09/2021;2;0;2;33.978;800%
01/09/2020;01/09/2021;2;1;2;135.248;550%
01/09/2020;01/09/2021;2;2;2;473.366;50%
01/09/2020;01/09/2021;2;2.1;2;219.777;400%
01/09/2020;01/09/2021;2;2.2;2;304.307;350%
01/09/2020;01/09/2021;2;2.3;2;388.837;0%
01/10/2020;01/11/2020;6;0;0;33.978;0%
01/10/2020;01/12/2020;4;0;1;33.978;50%
01/10/2020;01/12/2020;4;1;1;98.410;50%
01/10/2020;01/01/2021;2;0;3;33.978;200%
01/10/2020;01/01/2021;2;1;3;111.763;150%
01/10/2020;01/01/2021;2;2;3;391.169;100%
01/10/2020;01/01/2021;2;3;3;181.614;0%
01/10/2020;01/02/2021;0;0;0;33.978;0%
01/10/2020;01/03/2021;0;0;0;33.978;0%
01/10/2020;01/04/2021;0;0;0;33.978;0%
01/10/2020;01/05/2021;2;0;4;33.978;400%
01/10/2020;01/05/2021;2;1;2;111.763;350%
01/10/2020;01/05/2021;2;2;2;391.169;50%
01/10/2020;01/05/2021;2;2.1;2;181.614;
01/10/2020;01/05/2021;2;2.2;2;251.466;
01/10/2020;01/05/2021;2;2.3;2;321.317;
01/10/2020;01/06/2021;0;0;0;33.978;0%
01/10/2020;01/07/2021;2;0;2;33.978;500%
01/10/2020;01/07/2021;2;1;2;111.763;400%
01/10/2020;01/07/2021;2;2;2;391.169;50%
01/10/2020;01/07/2021;2;2.1;2;181.614;350%
01/10/2020;01/07/2021;2;2.2;2;251.466;
01/10/2020;01/07/2021;2;2.3;2;321.317;
01/10/2020;01/08/2021;0;0;0;33.978;0%
01/10/2020;01/09/2021;0;0;0;33.978;0%
01/10/2020;01/10/2021;6;0;2;33.978;267%
01/10/2020;01/10/2021;6;1;2;111.763;217%
01/10/2020;01/10/2021;6;2;2;391.169;0%
01/11/2020;01/12/2021;6;0;0;33.978;0%
01/11/2020;01/01/2021;1;0;1;33.978;100%
01/11/2020;01/01/2021;3;1;1;111.763;0%
01/11/2020;01/02/2021;2;0;1;33.978;33%
01/11/2020;01/02/2021;0;1;1;78.234;0%
01/11/2020;01/03/2021;0;0;1;33.978;200%
01/11/2020;01/03/2021;0;1;1;111.763;0%
01/11/2020;01/04/2021;0;0;0;33.978;0%
01/11/2020;01/05/2021;0;0;0;33.978;0%
01/11/2020;01/06/2021;0;0;0;33.978;0%
01/11/2020;01/07/2021;0;0;0;33.978;0%
01/11/2020;01/08/2021;0;0;0;33.978;0%
01/11/2020;01/09/2021;0;0;0;33.978;0%
01/11/2020;01/10/2021;0;0;0;33.978;0%
01/11/2020;01/11/2021;9;0;0;33.978;144%
01/11/2020;01/11/2021;9;1;2;111.763;89%
01/11/2020;01/11/2021;9;2;2;391.169;33%
01/11/2020;01/11/2021;9;2.1;2;181.614;56%
01/11/2020;01/11/2021;9;2.2;2;251.466;22%
01/11/2020;01/11/2021;9;2.3;2;321.317;0%
01/12/2020;01/01/2021;1;0;0;33.978;0%
01/12/2020;01/02/2021;2;0;0;33.978;0%
01/12/2020;01/03/2021;2;0;0;33.978;0%
01/12/2020;01/04/2021;0;0;0;33.978;0%
01/12/2020;01/05/2021;1;0;3;33.978;400%
01/12/2020;01/05/2021;1;1;2;111.763;
01/12/2020;01/05/2021;1;2;2;391.169;
01/12/2020;01/05/2021;1;2.1;2;181.614;
01/12/2020;01/06/2021;0;0;0;33.978;0%
01/12/2020;01/07/2021;0;0;0;33.978;0%
01/12/2020;01/08/2021;0;0;0;33.978;0%
01/12/2020;01/09/2021;0;0;0;33.978;0%
01/12/2020;01/10/2021;0;0;0;33.978;0%
01/12/2020;01/11/2021;0;0;0;33.978;0%
01/12/2020;01/12/2021;6;0;6;33.978;150%
01/12/2020;01/12/2021;6;1;2;111.763;117%
01/12/2020;01/12/2021;6;2;2;391.169;33%
01/12/2020;01/12/2021;6;2.1;2;181.614;83%
01/12/2020;01/12/2021;6;2.2;2;251.466;50%
01/12/2020;01/12/2021;6;2.3;2;321.317;
01/12/2020;01/12/2021;6;2.4;2;391.169;0%
01/01/2021;01/02/2021;3;0;0;33.978;0%
01/01/2021;01/03/2021;0;0;0;33.978;0%
01/01/2021;01/04/2021;0;0;0;33.978;0%
01/01/2021;01/05/2021;0;0;0;33.978;0%
01/01/2021;01/06/2021;0;0;0;33.978;0%
01/01/2021;01/07/2021;0;0;0;33.978;0%
01/01/2021;01/08/2021;0;0;0;33.978;0%
01/01/2021;01/09/2021;0;0;0;33.978;0%
01/01/2021;01/10/2021;0;0;0;33.978;0%
01/01/2021;01/11/2021;0;0;0;33.978;0%
01/01/2021;01/12/2021;2;0;2;33.978;600%
01/01/2021;01/12/2021;2;1;2;111.763;300%
01/01/2021;01/12/2021;2;2;2;391.169;100%
01/01/2021;01/12/2021;2;2.1;2;181.614;200%
01/01/2021;01/12/2021;2;2.2;2;251.466;100%
01/01/2021;01/12/2021;2;2.3;2;321.317;0%
01/01/2021;01/01/2022;12;0;2;33.978;117%
01/01/2021;01/01/2022;12;1;2;111.763;58%
01/01/2021;01/01/2022;12;2;2;312.935;17%
01/01/2021;01/01/2022;12;2.1;2;162.056;50%
01/01/2021;01/01/2022;12;2.2;2;212.349;33%
01/01/2021;01/01/2022;12;2.3;2;262.642;0%
01/02/2021;01/03/2021;1;0;0;33.978;0%
01/02/2021;01/04/2021;1;0;1;33.978;400%
01/02/2021;01/04/2021;1;1;1;111.763;0%
01/02/2021;01/05/2021;0;0;0;33.978;0%
01/02/2021;01/06/2021;0;0;0;33.978;0%
01/02/2021;01/07/2021;0;0;0;33.978;0%
01/02/2021;01/08/2021;0;0;0;33.978;0%
01/02/2021;01/09/2021;0;0;0;33.978;0%
01/02/2021;01/10/2021;0;0;0;33.978;0%
01/02/2021;01/11/2021;0;0;0;33.978;0%
01/02/2021;01/12/2021;2;0;2;33.978;550%
01/02/2021;01/12/2021;2;1;2;111.763;350%
01/02/2021;01/12/2021;2;2;2;391.169;50%
01/02/2021;01/12/2021;2;2.1;2;181.614;250%
01/02/2021;01/12/2021;2;2.2;2;251.466;
01/02/2021;01/12/2021;2;2.3;2;321.317;0%
01/02/2021;01/01/2022;2;0;2;33.978;550%
01/02/2021;01/01/2022;2;1;2;111.763;350%
01/02/2021;01/01/2022;2;2;2;391.169;50%
01/02/2021;01/01/2022;2;2.1;2;181.614;200%
01/02/2021;01/01/2022;2;2.2;2;251.466;
01/02/2021;01/01/2022;2;2.3;2;321.317;0%
01/02/2021;01/02/2022;11;0;2;33.978;109%
01/02/2021;01/02/2022;11;1;2;111.763;36%
01/02/2021;01/02/2022;11;2;2;273.818;9%
01/02/2021;01/02/2022;11;2.1;2;152.276;18%
01/02/2021;01/02/2022;11;2.2;2;192.790;18%
01/02/2021;01/02/2022;11;2.3;2;233.304;0%
01/03/2021;01/04/2021;0;0;0;33.978;0%
01/03/2021;01/05/2021;0;0;0;33.978;0%
01/03/2021;01/06/2021;0;0;0;33.978;0%
01/03/2021;01/07/2021;0;0;0;33.978;0%
01/03/2021;01/08/2021;0;0;0;33.978;0%
01/03/2021;01/09/2021;0;0;0;33.978;0%
01/03/2021;01/10/2021;0;0;0;33.978;0%
01/03/2021;01/11/2021;0;0;0;33.978;0%
01/03/2021;01/12/2021;0;0;0;33.978;0%
01/03/2021;01/01/2022;1;0;2;33.978;600%
01/03/2021;01/01/2022;1;1;2;111.763;400%
01/03/2021;01/01/2022;1;2;2;391.169;100%
01/03/2021;01/01/2022;1;2.1;2;181.614;200%
01/03/2021;01/01/2022;1;2.2;2;251.466;100%
01/03/2021;01/01/2022;1;2.3;2;321.317;0%
01/03/2021;01/02/2022;0;0;0;33.978;0%
01/03/2021;01/03/2022;11;0;2;33.978;80%
01/03/2021;01/03/2022;11;1;2;111.763;30%
01/03/2021;01/03/2022;11;2;2;273.818;30%
01/03/2021;01/03/2022;11;2.1;2;152.276;20%
01/03/2021;01/03/2022;11;2.2;2;192.790;10%
01/03/2021;01/03/2022;11;2.3;2;233.304;
01/03/2021;01/03/2022;11;2.4;2;273.818;0%
01/04/2021;01/05/2021;1;0;0;33.978;0%
01/04/2021;01/06/2021;1;0;2;33.978;400%
01/04/2021;01/06/2021;1;1;2;111.763;
01/04/2021;01/06/2021;1;2;2;391.169;
01/04/2021;01/06/2021;1;2.1;2;181.614;0%
01/04/2021;01/07/2021;0;0;0;33.978;0%
01/04/2021;01/08/2021;0;0;0;33.978;0%
01/04/2021;01/09/2021;0;0;0;33.978;0%
01/04/2021;01/10/2021;0;0;0;33.978;0%
01/04/2021;01/11/2021;0;0;0;33.978;0%
01/04/2021;01/12/2021;0;0;0;33.978;0%
01/04/2021;01/01/2022;0;0;0;33.978;0%
01/04/2021;01/02/2022;0;0;0;33.978;0%
01/04/2021;01/03/2022;3;0;2;33.978;200%
01/04/2021;01/03/2022;3;1;2;111.763;100%
01/04/2021;01/03/2022;3;2;2;391.169;100%
01/04/2021;01/03/2022;3;2.1;2;181.614;
01/04/2021;01/03/2022;3;2.2;2;251.466;
