Date,close,open,high,low
41498,108.97,108.13,109.13,107.43
41499,109.82,109.08,110.06,108.95
41500,110.2,109.51,110.36,109.05
41501,111.11,110.35,111.53,110.35
41502,110.4,109.42,110.7,109.17
41505,109.9,110.53,111,109.59
41506,110.15,109.67,110.73,108.61
41507,109.81,110.11,110.28,109.23
41508,109.9,109.7,110.15,109.4
41509,111.04,109.9,111.23,109.77
41512,110.73,111.15,111.68,110.5
41513,114.36,111.16,115.29,110.73
41514,116.61,115.3,117.34,114.81
41515,115.16,115.86,117.04,114.18
41516,114.01,114.2,115.53,113.63
41519,114.33,114,114.57,112.2
41520,115.68,114.45,116,114.06
41521,114.91,115.65,116.09,114.4
41522,115.26,114.95,115.55,114.29
41523,116.12,115.35,116.56,115.02
41526,113.72,115.93,116.18,113
41527,111.25,113,113.55,110.59
41528,111.5,111.52,112.49,111.02
41529,112.63,111.51,113.05,111.33
41530,112.78,112.87,112.91,111.6
41533,110.07,111.25,111.49,108.73
41534,108.19,109.5,110,107.41
41535,110.6,107.85,111.06,107.64
41536,108.76,110.92,111.26,108.52
41537,109.22,108.62,109.67,108.4
41540,108.16,109.22,109.45,107.76
41541,108.64,107.96,108.9,107.43
41542,108.32,108.73,110.09,107.89
41543,109.21,108,109.26,108
41544,108.63,109,109.67,108.1
41547,108.37,108.2,108.68,107.22
41548,107.94,108.38,108.41,106.81
41549,109.19,107.55,109.48,107.44
41550,109,108.9,109.85,108.58
41551,109.46,108.69,109.77,108.61
41554,109.68,109.21,110.17,107.89
41555,110.16,109.64,110.8,109.38
41556,109.06,110.16,110.25,108.12
41557,111.8,109.04,112,108.92
41558,111.28,111.65,111.85,110.51
41561,111.04,110.87,111.41,109.87
41562,109.96,111.08,111.27,109.53
41563,110.86,109.45,111.23,109.45
41564,109.11,110.57,110.66,108.71
41565,109.94,109.13,110.24,108.95
41568,109.64,109.96,110.19,109.21
41569,109.97,109.76,110.94,109.57
41570,107.8,109.99,110.06,107.35
41571,106.99,107.65,108.26,106.9
41572,106.93,107.09,107.39,106.27
41575,109.61,107.04,109.68,106.85
41576,109.01,109.41,109.46,108.45
41577,109.86,108.76,110.16,108.59
41578,108.84,109.69,109.87,108.55
41579,105.91,109.05,109.41,105.78
41582,106.23,105.78,106.58,105.13
41583,105.33,106.25,106.53,105.19
41584,105.24,105.64,106.41,104.82
41585,103.46,105,105.21,103.24
41586,105.12,103.53,105.38,102.98
41589,106.4,105.17,106.56,105.15
41590,105.81,106.4,107.38,105.51
41591,107.12,105.93,107.45,105.89
41592,108.54,107.17,108.96,107.15
41593,108.5,108.38,108.65,107.69
41596,108.47,108.5,108.73,107.53
41597,106.92,108.3,108.63,106.81
41598,108.06,107.2,108.38,106.51
41599,110.08,107.76,110.25,107.62
41600,111.05,110.07,111.4,109.65
41603,111,109,111.66,108.05
41604,110.88,111.08,111.49,110.41
41605,111.31,111,111.65,110.51
41606,110.86,111.4,111.55,110.61
41607,109.69,111.04,111.5,109.62
41610,111.45,109.6,112.34,109.28
41611,112.62,111.53,112.93,111.04
41612,111.88,112.91,113.02,111.46
41613,110.98,111.65,112.23,110.76
41614,111.61,111.07,112.06,110.94
41617,109.39,111.69,111.79,109
41618,109.38,109.31,110.45,108.55
41619,109.7,109.45,109.89,108.62
41620,108.67,109.52,109.98,108.44
41621,108.83,108.53,109,108.02
41624,110.47,109.15,110.8,109
41625,108.44,109.2,109.41,108.2
41626,109.63,108.33,109.73,107.8
41627,110.29,109.25,110.53,109.14
41628,111.77,110.09,111.89,109.87
41631,111.56,111.55,111.93,111.27
41632,111.9,111.61,112.06,111.42
41634,111.98,111.99,112.12,111.46
41635,112.18,111.95,112.8,111.5
41638,111.21,112.2,112.64,110.9
41639,110.8,111.18,111.52,110.4
41641,107.78,111,111.35,107.65
41642,106.89,107.88,108.64,106.79
41645,106.73,106.8,107.96,106.58
41646,107.35,107.03,107.72,106.88
41647,107.15,107.49,107.95,107
41648,106.39,107.35,108.2,106.12
41649,107.25,106.44,107.58,106.03
41652,106.75,107.25,107.64,106.36
41653,106.39,106.62,107.14,106.06
41654,107.13,106.17,107.55,105.8
41655,107.09,106.82,107.35,106.44
41656,106.48,105.55,106.95,105.44
41659,106.35,106.28,106.65,105.81
41660,106.73,106.35,108,106.28
41661,108.27,106.9,108.33,106.78
