;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV
;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX
Price Date;01/01/2020;01/02/2020;01/03/2020;01/04/2020;01/05/2020;01/06/2020;01/07/2020;01/08/2020;01/09/2020;01/10/2020;01/11/2020;01/12/2020;01/01/2021;01/02/2021;01/03/2021;01/04/2021;01/05/2021;01/06/2021;01/07/2021;01/08/2021;01/09/2021;01/10/2021;01/11/2021;01/12/2021;01/01/2022;01/02/2022;01/03/2022;01/04/2022;01/05/2022;01/06/2022;01/07/2022;01/08/2022;01/09/2022;01/10/2022;01/11/2022;01/12/2022;01/01/2023;01/02/2023;01/03/2023;01/04/2023;01/05/2023;01/06/2023;01/07/2023;01/08/2023;01/09/2023;01/10/2023;01/11/2023;01/12/2023;01/01/2024;01/02/2024;01/03/2024;01/04/2024;01/05/2024;01/06/2024;01/07/2024;01/08/2024;01/09/2024;01/10/2024;01/11/2024;01/12/2024;01/01/2025;01/02/2025;01/03/2025;01/04/2025;01/05/2025;01/06/2025;01/07/2025;01/08/2025;01/09/2025;01/10/2025;01/11/2025;01/12/2025;01/01/2026;01/02/2026;01/03/2026;01/04/2026;01/05/2026;01/06/2026;01/07/2026;01/08/2026;01/09/2026;01/10/2026;01/11/2026;01/12/2026;01/01/2027;01/02/2027;01/03/2027;01/04/2027;01/05/2027;01/06/2027
01/01/2020;1,1228;1,1252;1,1272;1,1293;1,1314;1,1336;1,1357;1,1378;1,1399;1,142;1,1442;1,1463;1,1483;1,1503;1,1523;1,1543;1,1563;1,1583;1,1603;1,1623;1,1643;1,1662;1,1682;1,1702;1,1721;1,1741;1,1761;1,1781;1,1801;1,1821;1,1841;1,1861;1,1881;1,1901;1,1921;1,1941;1,196;1,198;1,2;1,202;1,204;1,206;1,208;1,21;1,212;1,214;1,216;1,218;1,22;1,222;1,2239;1,2259;1,2279;1,23;1,232;1,234;1,236;1,238;1,2399;1,2419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/01/2020;1,1165;1,1188;1,1208;1,1228;1,1249;1,127;1,1291;1,1312;1,1333;1,1354;1,1375;1,1396;1,1416;1,1436;1,1457;1,1476;1,1496;1,1516;1,1535;1,1555;1,1575;1,1594;1,1614;1,1633;1,1653;1,1672;1,1691;1,1711;1,1731;1,175;1,177;1,179;1,1809;1,1829;1,1849;1,1868;1,1888;1,1907;1,1926;1,1946;1,1966;1,1985;1,2005;1,2025;1,2045;1,2065;1,2084;1,2104;1,2123;1,2143;1,2162;1,2182;1,2202;1,2222;1,2241;1,2261;1,2281;1,23;1,232;1,2339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03/01/2020;1,1165;1,1188;1,1208;1,1228;1,1249;1,127;1,1291;1,1311;1,1332;1,1352;1,1373;1,1394;1,1413;1,1433;1,1452;1,1472;1,1491;1,151;1,153;1,1549;1,1568;1,1587;1,1606;1,1625;1,1644;1,1663;1,1682;1,1701;1,1721;1,174;1,176;1,1779;1,1799;1,1818;1,1837;1,1856;1,1875;1,1894;1,1913;1,1933;1,1952;1,1972;1,1991;1,2011;1,203;1,2049;1,2069;1,2088;1,2107;1,2126;1,2146;1,2165;1,2184;1,2204;1,2223;1,2243;1,2262;1,2282;1,2301;1,232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04/01/2020;1,1165;1,1188;1,1208;1,1228;1,1249;1,127;1,1291;1,1311;1,1332;1,1352;1,1373;1,1394;1,1413;1,1433;1,1452;1,1472;1,1491;1,151;1,153;1,1549;1,1568;1,1587;1,1606;1,1625;1,1644;1,1663;1,1682;1,1701;1,1721;1,174;1,176;1,1779;1,1799;1,1818;1,1837;1,1856;1,1875;1,1894;1,1913;1,1933;1,1952;1,1972;1,1991;1,2011;1,203;1,2049;1,2069;1,2088;1,2107;1,2126;1,2146;1,2165;1,2184;1,2204;1,2223;1,2243;1,2262;1,2282;1,2301;1,232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05/01/2020;1,1165;1,1188;1,1208;1,1228;1,1249;1,127;1,1291;1,1311;1,1332;1,1352;1,1373;1,1394;1,1413;1,1433;1,1452;1,1472;1,1491;1,151;1,153;1,1549;1,1568;1,1587;1,1606;1,1625;1,1644;1,1663;1,1682;1,1701;1,1721;1,174;1,176;1,1779;1,1799;1,1818;1,1837;1,1856;1,1875;1,1894;1,1913;1,1933;1,1952;1,1972;1,1991;1,2011;1,203;1,2049;1,2069;1,2088;1,2107;1,2126;1,2146;1,2165;1,2184;1,2204;1,2223;1,2243;1,2262;1,2282;1,2301;1,232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06/01/2020;1,1191;1,1211;1,1231;1,1252;1,1273;1,1294;1,1315;1,1336;1,1357;1,1377;1,1397;1,1417;1,1437;1,1457;1,1477;1,1496;1,1515;1,1535;1,1554;1,1573;1,1592;1,1611;1,163;1,1649;1,1668;1,1687;1,1706;1,1725;1,1744;1,1763;1,1783;1,1802;1,1821;1,184;1,1859;1,1878;1,1896;1,1915;1,1934;1,1953;1,1972;1,1991;1,201;1,203;1,2049;1,2068;1,2087;1,2106;1,2125;1,2144;1,2162;1,2182;1,2201;1,222;1,2239;1,2258;1,2278;1,2296;1,2315;1,2334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07/01/2020;1,1144;1,1163;1,1183;1,1204;1,1225;1,1246;1,1267;1,1287;1,1308;1,1328;1,1348;1,1368;1,1389;1,1409;1,1429;1,1449;1,1468;1,1488;1,1507;1,1526;1,1545;1,1564;1,1583;1,1602;1,1621;1,164;1,1659;1,1679;1,1698;1,1717;1,1736;1,1756;1,1775;1,1794;1,1813;1,1832;1,1851;1,187;1,1889;1,1908;1,1927;1,1947;1,1966;1,1985;1,2005;1,2024;1,2043;1,2062;1,2081;1,21;1,2119;1,2139;1,2158;1,2177;1,2197;1,2216;1,2235;1,2254;1,2273;1,2293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/01/2020;1,1111;1,1129;1,1149;1,1169;1,119;1,1212;1,1232;1,1253;1,1274;1,1294;1,1314;1,1334;1,1355;1,1375;1,1395;1,1415;1,1434;1,1454;1,1474;1,1493;1,1513;1,1532;1,1552;1,1571;1,159;1,1609;1,1628;1,1647;1,1667;1,1686;1,1705;1,1725;1,1744;1,1763;1,1782;1,1802;1,1821;1,1839;1,1858;1,1878;1,1897;1,1917;1,1936;1,1955;1,1975;1,1994;1,2013;1,2032;1,2051;1,2071;1,209;1,2109;1,2129;1,2148;1,2167;1,2187;1,2206;1,2225;1,2244;1,2264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
