;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT;HHFUT
;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX;NYMEX
Price Date;01/01/2020;01/02/2020;01/03/2020;01/04/2020;01/05/2020;01/06/2020;01/07/2020;01/08/2020;01/09/2020;01/10/2020;01/11/2020;01/12/2020;01/01/2021;01/02/2021;01/03/2021;01/04/2021;01/05/2021;01/06/2021;01/07/2021;01/08/2021;01/09/2021;01/10/2021;01/11/2021;01/12/2021;01/01/2022;01/02/2022;01/03/2022;01/04/2022;01/05/2022;01/06/2022;01/07/2022;01/08/2022;01/09/2022;01/10/2022;01/11/2022;01/12/2022;01/01/2023;01/02/2023;01/03/2023;01/04/2023;01/05/2023;01/06/2023;01/07/2023;01/08/2023;01/09/2023;01/10/2023;01/11/2023;01/12/2023;01/01/2024;01/02/2024;01/03/2024;01/04/2024;01/05/2024;01/06/2024;01/07/2024;01/08/2024;01/09/2024;01/10/2024;01/11/2024;01/12/2024;01/01/2025;01/02/2025;01/03/2025;01/04/2025;01/05/2025;01/06/2025;01/07/2025;01/08/2025;01/09/2025;01/10/2025;01/11/2025;01/12/2025;01/01/2026;01/02/2026;01/03/2026;01/04/2026;01/05/2026;01/06/2026;01/07/2026;01/08/2026;01/09/2026;01/10/2026;01/11/2026;01/12/2026
01/01/2020;2,158;2,189;2,158;2,149;2,188;2,246;2,303;2,319;2,311;2,346;2,427;2,603;2,72;2,674;2,551;2,29;2,264;2,293;2,327;2,33;2,317;2,341;2,406;2,576;2,694;2,65;2,517;2,267;2,247;2,291;2,336;2,343;2,333;2,355;2,421;2,591;2,714;2,675;2,55;2,293;2,279;2,32;2,36;2,376;2,37;2,4;2,474;2,653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/01/2020;0;2,122;2,093;2,098;2,142;2,202;2,262;2,281;2,276;2,311;2,4;2,587;2,702;2,657;2,54;2,287;2,263;2,293;2,327;2,331;2,318;2,344;2,406;2,574;2,693;2,648;2,513;2,26;2,242;2,282;2,329;2,336;2,326;2,348;2,416;2,586;2,709;2,67;2,545;2,288;2,274;2,315;2,355;2,371;2,365;2,395;2,469;2,648;2,772;2,736;2,611;2,346;2,326;2,356;2,386;2,394;2,387;2,41;2,472;2,652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03/01/2020;0;2,13;2,112;2,113;2,156;2,216;2,276;2,296;2,292;2,327;2,418;2,609;2,718;2,672;2,554;2,3;2,274;2,304;2,336;2,339;2,326;2,351;2,412;2,578;2,697;2,651;2,516;2,262;2,244;2,284;2,331;2,337;2,327;2,348;2,416;2,586;2,709;2,67;2,545;2,288;2,274;2,315;2,355;2,371;2,365;2,395;2,469;2,648;2,772;2,736;2,611;2,346;2,326;2,356;2,386;2,394;2,387;2,41;2,472;2,652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04/01/2020;0;2,13;2,112;2,113;2,156;2,216;2,276;2,296;2,292;2,327;2,418;2,609;2,718;2,672;2,554;2,3;2,274;2,304;2,336;2,339;2,326;2,351;2,412;2,578;2,697;2,651;2,516;2,262;2,244;2,284;2,331;2,337;2,327;2,348;2,416;2,586;2,709;2,67;2,545;2,288;2,274;2,315;2,355;2,371;2,365;2,395;2,469;2,648;2,772;2,736;2,611;2,346;2,326;2,356;2,386;2,394;2,387;2,41;2,472;2,652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05/01/2020;0;2,13;2,112;2,113;2,156;2,216;2,276;2,296;2,292;2,327;2,418;2,609;2,718;2,672;2,554;2,3;2,274;2,304;2,336;2,339;2,326;2,351;2,412;2,578;2,697;2,651;2,516;2,262;2,244;2,284;2,331;2,337;2,327;2,348;2,416;2,586;2,709;2,67;2,545;2,288;2,274;2,315;2,355;2,371;2,365;2,395;2,469;2,648;2,772;2,736;2,611;2,346;2,326;2,356;2,386;2,394;2,387;2,41;2,472;2,652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06/01/2020;0;2,135;2,134;2,135;2,176;2,234;2,293;2,31;2,303;2,335;2,421;2,608;2,719;2,671;2,551;2,296;2,271;2,3;2,335;2,338;2,325;2,349;2,409;2,573;2,693;2,648;2,513;2,26;2,242;2,288;2,335;2,341;2,331;2,352;2,42;2,59;2,713;2,674;2,549;2,292;2,278;2,319;2,359;2,375;2,369;2,399;2,473;2,652;2,776;2,74;2,615;2,35;2,33;2,36;2,39;2,398;2,391;2,414;2,476;2,656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07/01/2020;0;2,162;2,153;2,146;2,183;2,239;2,294;2,31;2,304;2,337;2,422;2,607;2,718;2,672;2,553;2,295;2,27;2,301;2,335;2,339;2,328;2,352;2,409;2,573;2,693;2,651;2,519;2,268;2,25;2,292;2,339;2,346;2,336;2,358;2,426;2,596;2,719;2,68;2,555;2,298;2,285;2,326;2,366;2,382;2,376;2,406;2,48;2,659;2,783;2,747;2,622;2,357;2,337;2,367;2,397;2,405;2,398;2,421;2,483;2,663;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/01/2020;0;2,141;2,134;2,135;2,177;2,238;2,299;2,317;2,308;2,337;2,422;2,607;2,715;2,67;2,549;2,298;2,271;2,3;2,334;2,339;2,326;2,351;2,41;2,575;2,694;2,657;2,524;2,273;2,254;2,295;2,342;2,349;2,339;2,361;2,429;2,599;2,722;2,683;2,558;2,301;2,288;2,329;2,369;2,385;2,379;2,409;2,483;2,662;2,786;2,75;2,625;2,36;2,34;2,37;2,4;2,408;2,401;2,424;2,486;2,666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09/01/2020;0;2,166;2,148;2,15;2,191;2,25;2,309;2,325;2,315;2,345;2,426;2,606;2,716;2,673;2,559;2,306;2,277;2,306;2,339;2,345;2,333;2,357;2,418;2,585;2,705;2,663;2,53;2,278;2,259;2,3;2,347;2,354;2,344;2,366;2,434;2,604;2,728;2,689;2,565;2,308;2,295;2,337;2,38;2,396;2,39;2,42;2,494;2,673;2,797;2,761;2,636;2,371;2,351;2,381;2,411;2,419;2,412;2,435;2,497;2,677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/01/2020;0;2,202;2,168;2,164;2,199;2,254;2,311;2,325;2,316;2,346;2,425;2,605;2,715;2,672;2,557;2,305;2,274;2,305;2,337;2,341;2,329;2,353;2,413;2,578;2,698;2,663;2,53;2,279;2,26;2,301;2,348;2,356;2,346;2,369;2,436;2,606;2,73;2,691;2,567;2,31;2,297;2,339;2,382;2,398;2,392;2,422;2,496;2,675;2,799;2,763;2,638;2,373;2,353;2,383;2,413;2,421;2,414;2,437;2,499;2,679;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11/01/2020;0;2,202;2,168;2,164;2,199;2,254;2,311;2,325;2,316;2,346;2,425;2,605;2,715;2,672;2,557;2,305;2,274;2,305;2,337;2,341;2,329;2,353;2,413;2,578;2,698;2,663;2,53;2,279;2,26;2,301;2,348;2,356;2,346;2,369;2,436;2,606;2,73;2,691;2,567;2,31;2,297;2,339;2,382;2,398;2,392;2,422;2,496;2,675;2,799;2,763;2,638;2,373;2,353;2,383;2,413;2,421;2,414;2,437;2,499;2,679;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2020;0;2,202;2,168;2,164;2,199;2,254;2,311;2,325;2,316;2,346;2,425;2,605;2,715;2,672;2,557;2,305;2,274;2,305;2,337;2,341;2,329;2,353;2,413;2,578;2,698;2,663;2,53;2,279;2,26;2,301;2,348;2,356;2,346;2,369;2,436;2,606;2,73;2,691;2,567;2,31;2,297;2,339;2,382;2,398;2,392;2,422;2,496;2,675;2,799;2,763;2,638;2,373;2,353;2,383;2,413;2,421;2,414;2,437;2,499;2,679;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13/01/2020;0;2,182;2,158;2,163;2,203;2,258;2,316;2,33;2,321;2,353;2,431;2,609;2,721;2,681;2,567;2,317;2,286;2,315;2,347;2,351;2,339;2,363;2,421;2,585;2,704;2,667;2,534;2,283;2,264;2,306;2,353;2,361;2,351;2,373;2,441;2,611;2,735;2,696;2,567;2,31;2,297;2,339;2,382;2,398;2,392;2,422;2,496;2,675;2,799;2,763;2,638;2,373;2,353;2,383;2,413;2,421;2,414;2,437;2,499;2,679;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14/01/2020;0;2,187;2,151;2,154;2,194;2,248;2,306;2,322;2,315;2,345;2,427;2,608;2,721;2,681;2,563;2,314;2,284;2,315;2,348;2,353;2,34;2,364;2,422;2,587;2,708;2,67;2,537;2,285;2,267;2,312;2,357;2,364;2,352;2,372;2,44;2,61;2,734;2,695;2,566;2,309;2,296;2,338;2,381;2,397;2,391;2,421;2,495;2,674;2,798;2,762;2,637;2,372;2,352;2,382;2,412;2,42;2,413;2,436;2,498;2,678;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15/01/2020;0;2,12;2,083;2,097;2,144;2,203;2,266;2,286;2,281;2,313;2,4;2,586;2,698;2,657;2,538;2,299;2,272;2,304;2,339;2,344;2,332;2,356;2,415;2,579;2,7;2,664;2,536;2,284;2,266;2,311;2,356;2,363;2,351;2,371;2,439;2,609;2,733;2,694;2,565;2,308;2,295;2,337;2,38;2,396;2,39;2,42;2,494;2,673;2,797;2,761;2,636;2,371;2,351;2,381;2,411;2,419;2,412;2,435;2,497;2,677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
