;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM
;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS;GAS
Price Date;01/01/2020;01/02/2020;01/03/2020;01/04/2020;01/05/2020;01/06/2020;01/07/2020;01/08/2020;01/09/2020;01/10/2020;01/11/2020;01/12/2020;01/01/2021;01/02/2021;01/03/2021;01/04/2021;01/05/2021;01/06/2021;01/07/2021;01/08/2021;01/09/2021;01/10/2021;01/11/2021;01/12/2021;01/01/2022;01/02/2022;01/03/2022;01/04/2022;01/05/2022;01/06/2022;01/07/2022;01/08/2022;01/09/2022;01/10/2022;01/11/2022;01/12/2022;01/01/2023;01/02/2023;01/03/2023;01/04/2023;01/05/2023;01/06/2023;01/07/2023;01/08/2023;01/09/2023;01/10/2023;01/11/2023;01/12/2023;01/01/2024;01/02/2024;01/03/2024;01/04/2024;01/05/2024;01/06/2024;01/07/2024;01/08/2024;01/09/2024;01/10/2024;01/11/2024;01/12/2024
01/01/2020;5,645;5,3;4,59;4,125;4,05;4,09;4,265;4,415;4,565;5,1;5,725;6,225;6,725;6,75;6,55;5,7;5,55;5,475;5,505;5,605;5,7;5,975;6,44;6,985;7,155;7,075;6,925;6,275;5,875;5,745;5,695;5,77;5,925;6,45;6,95;7,555;7,455;7,33;7,105;6,4;5,97;5,795;5,745;5,795;5,92;6,375;6,905;7,51;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
02/01/2020;0;5,25;4,56;4,125;4,025;4,065;4,265;4,415;4,565;5,09;5,675;6,225;6,7;6,725;6,525;5,675;5,525;5,45;5,56;5,66;5,76;6,035;6,515;7,07;7,1;7,025;6,875;6,225;5,825;5,7;5,65;5,725;5,875;6,4;6,9;7,5;7,43;7,305;7,08;6,375;5,945;5,77;5,72;5,77;5,895;6,35;6,88;7,485;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
03/01/2020;0;5,385;4,85;4,39;4,325;4,375;4,55;4,675;4,815;5,325;5,925;6,5;6,94;6,965;6,76;5,855;5,7;5,62;5,7;5,8;5,905;6,27;6,76;7,33;7,39;7,315;7,155;6,48;6,065;5,935;5,88;5,96;6,115;6,665;7,185;7,81;7,595;7,465;7,235;6,525;6,09;5,91;5,86;5,91;6,04;6,495;7,03;7,645;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
04/01/2020;0;5,385;4,85;4,39;4,325;4,375;4,55;4,675;4,815;5,325;5,925;6,5;6,94;6,965;6,76;5,855;5,7;5,62;5,7;5,8;5,905;6,27;6,76;7,33;7,39;7,315;7,155;6,48;6,065;5,935;5,88;5,96;6,115;6,665;7,185;7,81;7,595;7,465;7,235;6,525;6,09;5,91;5,86;5,91;6,04;6,495;7,03;7,645;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
05/01/2020;0;5,385;4,85;4,39;4,325;4,375;4,55;4,675;4,815;5,325;5,925;6,5;6,94;6,965;6,76;5,855;5,7;5,62;5,7;5,8;5,905;6,27;6,76;7,33;7,39;7,315;7,155;6,48;6,065;5,935;5,88;5,96;6,115;6,665;7,185;7,81;7,595;7,465;7,235;6,525;6,09;5,91;5,86;5,91;6,04;6,495;7,03;7,645;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
06/01/2020;0;5,315;4,69;4,29;4,225;4,275;4,465;4,59;4,74;5,165;5,85;6,35;6,8;6,84;6,645;5,8;5,65;5,575;5,58;5,68;5,775;6,12;6,61;7,17;7,29;7,22;7,07;6,4;5,98;5,86;5,785;5,885;6,03;6,625;7,12;7,64;7,625;7,475;7,225;6,525;6,1;5,9;5,875;5,9;6,025;6,5;7,025;7,625;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
07/01/2020;0;5,3;4,6;4,2;4,15;4,225;4,4;4,52;4,655;5,065;5,75;6,32;6,745;6,745;6,545;5,69;5,55;5,485;5,52;5,62;5,715;6,07;6,575;7,15;7,25;7,175;7,02;6,35;5,93;5,805;5,73;5,83;5,98;6,575;7,07;7,59;7,55;7,4;7,15;6,45;6,025;5,825;5,8;5,825;5,95;6,425;6,95;7,55;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
08/01/2020;0;5,31;4,615;4,24;4,175;4,25;4,435;4,55;4,69;5,09;5,77;6,3;6,685;6,7;6,49;5,71;5,58;5,51;5,53;5,63;5,735;6,095;6,61;7,195;7,29;7,21;7,055;6,37;5,94;5,815;5,74;5,84;5,995;6,6;7,105;7,635;7,565;7,415;7,16;6,45;6,015;5,815;5,79;5,815;5,94;6,425;6,955;7,565;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
