Price Date;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC
Price Date;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP
Price Date;01/01/2020;01/02/2020;01/03/2020;01/04/2020;01/05/2020;01/06/2020;01/07/2020;01/08/2020;01/09/2020;01/10/2020;01/11/2020;01/12/2020;01/01/2021;01/02/2021;01/03/2021;01/04/2021;01/05/2021;01/06/2021;01/07/2021;01/08/2021;01/09/2021;01/10/2021;01/11/2021;01/12/2021;01/01/2022;01/02/2022;01/03/2022;01/04/2022;01/05/2022;01/06/2022;01/07/2022;01/08/2022;01/09/2022;01/10/2022;01/11/2022;01/12/2022;01/01/2023;01/02/2023;01/03/2023;01/04/2023;01/05/2023;01/06/2023;01/07/2023;01/08/2023;01/09/2023;01/10/2023;01/11/2023;01/12/2023;01/01/2024;01/02/2024;01/03/2024;01/04/2024;01/05/2024;01/06/2024;01/07/2024;01/08/2024;01/09/2024;01/10/2024;01/11/2024;01/12/2024
01/01/2020;11,84;11,951;11,825;11,80724762;11,76383111;11,42092127;12,26555094;12,19432392;12,59612514;15,07290053;17,23942404;17,61967543;19,00467684;18,51995174;17,80890232;16,14094921;15,85947148;15,32024962;15,07575479;14,85126209;15,71713985;17,32323282;18,27143029;19,14697895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/01/2020;11,1935;12;11,77;11,673;12,00852122;11,65847878;12,01332864;11,94356629;12,33710508;15,03305388;17,19384998;17,57309614;15,86667328;15,46198474;14,86834198;17,32294941;17,02085909;16,44215006;16,1797509;15,93881862;16,86810453;18,59181153;19,60944542;20,54911043;20,14697922;19,63311905;18,87933102;17,11112329;16,81272694;16,24109441;15,98190388;15,74391773;16,66184028;18,36446968;19,36965988;20,2978346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03/01/2020;11,1755;12,63;12,59;12,706;13,02178935;12,64221065;13,07583993;12,9999075;13,42825257;16,38421752;18,73922493;19,15255755;17,40398586;16,9600873;16,30892684;17,63373377;17,32622376;16,73713234;16,47002557;16,22477081;17,17072869;18,92536005;19,96125092;20,91777409;20,7299241;20,20119559;19,425597;17,60622687;17,29919655;16,71102405;16,44433395;16,19946176;17,14394404;18,89583835;19,93011333;20,88514442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04/01/2020;11,84;11,951;11,825;11,80724762;11,76383111;11,42092127;12,26555094;12,19432392;12,59612514;15,07290053;17,23942404;17,61967543;19,00467684;18,51995174;17,80890232;16,14094921;15,85947148;15,32024962;15,07575479;14,85126209;15,71713985;17,32323282;18,27143029;19,14697895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05/01/2020;11,84;11,951;11,825;11,80724762;11,76383111;11,42092127;12,26555094;12,19432392;12,59612514;15,07290053;17,23942404;17,61967543;19,00467684;18,51995174;17,80890232;16,14094921;15,85947148;15,32024962;15,07575479;14,85126209;15,71713985;17,32323282;18,27143029;19,14697895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06/01/2020;12,89;12,59;12,678;12,753;13,15472688;12,77127312;13,06988192;12,99398409;13,42213399;15,15078262;17,32850061;17,71071677;18,8629903;18,381879;17,6761307;17,22853391;16,92809007;16,3525352;16,09156619;15,85194706;16,77616808;18,49048034;19,5025678;20,43711134;20,82539677;20,29423317;19,51506252;17,6873132;17,37886883;16,78798748;16,52006912;16,27406917;17,2229013;18,98286405;20,02190243;20,98133196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07/01/2020;12,842;12,04;12;11,779;12,21350886;11,85749114;12,08383172;12,01365996;12,40950832;14,58477909;16,6811418;17,04907911;18,3344103;17,86678074;17,18080896;16,60335906;16,31381748;15,75914786;15,50764868;15,27672466;16,1674083;17,81951301;18,79487468;19,69550627;20,19527716;19,68018512;18,92459005;17,15214343;16,85303175;16,28002885;16,02021697;15,7816603;16,70178337;18,40849445;19,41609437;20,34649418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/01/2020;13,219;12,27;11,96;11,96;12,18255776;11,82744224;12,0639717;11,99391526;12,38911304;14,65360512;16,75986063;17,12953425;18,41065771;17,94108341;17,25225888;16,74957195;16,4574806;15,89792644;15,64421251;15,41125491;16,30978212;17,97643563;18,96038655;19,8689493;20,36937438;19,84984189;19,08773307;17,30000674;16,9983165;16,42037393;16,15832229;15,9177091;16,84576426;18,56718836;19,58347449;20,52189499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09/01/2020;12,52;12,49;11,96;11,96;12,59787229;12,11112771;12,18093734;12,18894496;12,4011177;14,69237145;17,04681023;17,37381832;18,43193481;18,26487832;17,51918688;16,61670397;16,71982647;16,34536019;15,87099608;15,51247546;16,20267567;18,71778697;19,89889923;20,19927596;20,69045403;20,50292762;19,66586441;17,12055299;17,22680236;16,84098157;16,35223387;15,98284224;16,69397059;19,2853447;20,50227046;20,81175516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
