Price Date;excess %
01/01/2020;2,29
02/01/2020;2,28
03/01/2020;2,28
04/01/2020;2,28
05/01/2020;2,28
06/01/2020;2,29
07/01/2020;2,29
08/01/2020;2,3
09/01/2020;2,3
10/01/2020;2,3
11/01/2020;2,3
12/01/2020;2,3
13/01/2020;2,31
14/01/2020;2,31
15/01/2020;2,31
16/01/2020;2,32
17/01/2020;2,32
18/01/2020;2,32
19/01/2020;2,32
20/01/2020;2,32
21/01/2020;2,31
22/01/2020;2,3
23/01/2020;2,28
24/01/2020;2,26
25/01/2020;2,26
26/01/2020;2,26
27/01/2020;2,25
28/01/2020;2,26
29/01/2020;2,25
30/01/2020;2,25
31/01/2020;2,25
01/02/2020;2,25
02/02/2020;2,25
03/02/2020;2,24
04/02/2020;2,25
05/02/2020;2,24
06/02/2020;2,26
07/02/2020;2,28
08/02/2020;2,28
09/02/2020;2,28
10/02/2020;2,27
11/02/2020;2,28
12/02/2020;2,28
13/02/2020;2,28
14/02/2020;2,27
15/02/2020;2,27
16/02/2020;2,27
17/02/2020;2,27
18/02/2020;2,28
19/02/2020;2,26
20/02/2020;2,25
21/02/2020;2,25
22/02/2020;2,25
23/02/2020;2,25
24/02/2020;2,24
25/02/2020;2,25
26/02/2020;2,26
27/02/2020;2,25
28/02/2020;2,24
29/02/2020;2,24
01/03/2020;2,24
02/03/2020;2,26
03/03/2020;2,26
04/03/2020;2,26
05/03/2020;2,24
06/03/2020;2,21
07/03/2020;2,21
08/03/2020;2,21
09/03/2020;2,26
10/03/2020;2,28
11/03/2020;2,24
12/03/2020;2,21
13/03/2020;2,2
14/03/2020;2,2
15/03/2020;2,2
16/03/2020;2,2
17/03/2020;2,22
18/03/2020;2,2
19/03/2020;2,22
20/03/2020;2,21
21/03/2020;2,21
22/03/2020;2,21
23/03/2020;2,22
24/03/2020;2,22
25/03/2020;2,23
26/03/2020;2,21
27/03/2020;2,25
28/03/2020;2,25
29/03/2020;2,25
30/03/2020;2,26
31/03/2020;2,26
01/04/2020;2,26
02/04/2020;2,25
03/04/2020;2,23
04/04/2020;2,23
05/04/2020;2,23
06/04/2020;2,25
07/04/2020;2,25
08/04/2020;2,27
09/04/2020;2,3
10/04/2020;2,3
11/04/2020;2,3
12/04/2020;2,3
13/04/2020;2,33
14/04/2020;2,33
15/04/2020;2,31
16/04/2020;2,31
17/04/2020;2,32
18/04/2020;2,32
19/04/2020;2,32
20/04/2020;2,35
21/04/2020;2,34
22/04/2020;2,36
23/04/2020;2,35
24/04/2020;2,34
25/04/2020;2,34
26/04/2020;2,34
27/04/2020;2,36
28/04/2020;2,37
29/04/2020;2,37
30/04/2020;2,37
01/05/2020;2,35
02/05/2020;2,35
03/05/2020;2,35
04/05/2020;2,35
05/05/2020;2,33
06/05/2020;2,34
07/05/2020;2,33
08/05/2020;2,34
09/05/2020;2,34
10/05/2020;2,34
11/05/2020;2,33
12/05/2020;2,32
13/05/2020;2,31
14/05/2020;2,33
15/05/2020;2,33
16/05/2020;2,33
17/05/2020;2,33
18/05/2020;2,33
19/05/2020;2,34
20/05/2020;2,33
21/05/2020;2,33
22/05/2020;2,34
23/05/2020;2,34
24/05/2020;2,34
25/05/2020;2,34
26/05/2020;2,33
27/05/2020;2,33
28/05/2020;2,33
29/05/2020;2,33
30/05/2020;2,33
31/05/2020;2,33
01/06/2020;2,32
02/06/2020;2,32
03/06/2020;2,32
04/06/2020;2,31
05/06/2020;2,31
06/06/2020;2,31
07/06/2020;2,31
