step;fee;excess %
1;33978;350
2;135248;150
3;177512;50
4;219777;100
5;304307;100
6;388837;0
7;33978;0
8;33978;0
9;33978;0
10;33978;600
11;135248;500
12;473366;0
13;33978;700
15;473366;0
16;33978;0
17;33978;600
18;135248;450
19;473366;0
20;33978;550
21;135248;350
22;473366;0
23;33978;0
24;33978;433
25;135248;267
26;473366;17
27;219777;117
28;304307;100
29;388837;0
30;33978;800
31;135248;550
32;473366;50
33;219777;400
34;304307;350
35;388837;0
36;33978;0
37;33978;50
38;98410;50
39;33978;200
40;111763;150
41;391169;100
42;181614;0
43;33978;0
44;33978;0
45;33978;0
46;33978;400
47;111763;350
48;391169;50
49;33978;0
50;33978;500
51;111763;400
52;391169;50
53;181614;350
54;33978;0
55;33978;0
56;33978;267
57;111763;217
58;391169;0
59;33978;0
60;33978;100
61;111763;0
62;33978;33
63;78234;0
64;33978;200
65;111763;0
66;33978;0
67;33978;0
68;33978;0
69;33978;0
70;33978;0
71;33978;0
72;33978;0
73;33978;144
74;111763;89
75;391169;33
76;181614;56
77;251466;22
78;321317;0
79;33978;0
80;33978;0
81;33978;0
82;33978;0
83;33978;400
85;33978;0
86;33978;0
87;33978;0
88;33978;0
89;33978;0
90;33978;150
91;111763;117
92;391169;33
93;181614;83
94;251466;50
95;391169;0
96;33978;0
97;33978;0
98;33978;0
99;33978;0
100;33978;0
101;33978;0
103;33978;0
104;33978;0
105;33978;0
106;33978;600
107;111763;300
108;391169;100
109;181614;200
110;251466;100
111;321317;0
112;33978;117
113;111763;58
114;312935;17
115;162056;50
116;212349;33
117;262642;0
118;33978;0
119;33978;400
120;111763;0
121;33978;0
122;33978;0
123;33978;0
124;33978;0
125;33978;0
126;33978;0
127;33978;0
128;33978;550
129;111763;350
130;391169;50
131;181614;250
132;321317;0
133;33978;550
134;111763;350
135;391169;50
136;181614;200
137;321317;0
138;33978;109
139;111763;36
140;273818;9
141;152276;18
142;192790;18
143;233304;0
144;33978;0
145;33978;0
146;33978;0
147;33978;0
148;33978;0
149;33978;0
150;33978;0
151;33978;0
152;33978;0
153;33978;600
154;111763;400
155;391169;100
156;181614;200
157;251466;100
158;321317;0
159;33978;0
160;33978;80
161;111763;30
162;273818;30
163;152276;20
164;192790;10
165;273818;0
166;33978;0
167;33978;400
168;181614;0
169;33978;0
170;33978;0
171;33978;0
172;33978;0
173;33978;0
174;33978;0
175;33978;0
176;33978;0
177;33978;200
178;111763;100
179;391169;100
180;391169;0
181;33978;100
182;111763;38
183;273818;13
184;48236;0
185;48236;0
186;48236;0
187;48236;0
188;48236;0
189;48236;0
190;48236;0
191;48236;0
192;48236;0
193;48236;800
194;111763;400
195;391169;100
196;181614;400
197;251466;300
198;48236;800
199;111763;500
200;391169;100
201;181614;400
202;251466;400
203;48236;122
204;111763;67
205;391169;11
206;181614;44
207;251466;22
208;321317;0
209;48236;200
210;111763;0
211;48236;700
212;111763;0
213;48236;0
214;48236;0
215;48236;0
216;48236;0
217;48236;0
218;48236;0
219;48236;0
220;48236;0
221;48236;0
222;48236;140
223;111763;80
224;391169;30
225;181614;60
226;251466;30
227;321317;0
228;48236;0
229;48236;100
230;111919;0
231;48236;0
232;48236;300
233;121338;0
234;48236;300
235;241098;0
236;48236;0
237;48236;0
238;48236;0
239;48236;0
240;48236;0
241;48236;0
242;48236;150
243;120527;100
244;239728;0
245;48236;0
246;48236;100
247;111919;0
248;48236;0
249;48236;300
250;121338;0
251;48236;300
252;241098;0
253;48236;0
254;48236;0
255;48236;0
256;48236;0
257;48236;0
258;48236;0
259;48236;150
260;120527;100
261;239728;0
262;48236;0
263;48236;100
264;118564;50
265;29641;0
266;48236;0
267;48236;50
268;96086;0
269;48236;0
270;48236;300
271;330220;0
272;48236;133
273;122963;33
274;30741;133
275;61482;33
277;48236;250
278;118598;100
279;241132;100
280;149231;0
281;48236;250
283;239945;100
284;151062;50
285;180690;0
286;48236;150
287;120161;100
288;239945;0
289;48236;400
290;122905;300
291;242617;0
293;122852;75
294;242478;25
295;152759;50
296;182665;0
297;48236;500
298;48236;300
299;118805;100
300;237374;-100
301;148447;100
302;178090;0
