step;Mes;mes_subastado;slots_ofertados;ronda;N total de ronda;fee;excess;HH
0;1;22;5;11;12;1974888;20;5.73
1;1;22;5;12;12;2073853;-20;5.73
2;1;22;5;12.1;12;1999629;0;5.73
3;1;23;4;0;11;48236;400;5.73
4;1;23;4;1;11;209456;350;5.73
5;1;23;4;2;11;418497;300;5.73
6;1;23;4;3;11;627638;225;5.73
7;1;23;4;4;11;837002;175;5.73
8;1;23;4;5;11;1047040;175;5.73
9;1;23;4;6;11;1256681;125;5.73
10;1;23;4;7;11;1466018;125;5.73
11;1;23;4;8;11;1676510;50;5.73
12;1;23;4;11;11;2007576;0;5.73
13;1;24;0;0;0;48236;0;5.73
14;1;25;0;0;0;48236;0;5.73
15;1;26;0;0;0;48236;0;5.73
16;1;27;0;0;0;48236;0;5.73
17;1;28;0;0;0;48236;0;5.73
18;1;29;0;0;0;48236;0;5.73
19;1;30;0;0;0;48236;0;5.73
20;1;31;0;0;0;48236;0;5.73
21;1;32;0;0;0;48236;0;5.73
22;1;33;12;0;0;48236;175;5.73
23;1;33;12;1;10;209516;158;5.73
24;1;33;12;2;10;419483;142;5.73
25;1;33;12;3;10;628970;125;5.73
26;1;33;12;4;10;838494;75;5.73
27;1;33;12;5;10;1048226;42;5.73
28;1;33;12;6;10;1180875;42;5.73
29;1;33;12;7;10;1313271;25;5.73
30;1;33;12;8;10;1412596;17;5.73
31;1;33;12;9;10;1489329;17;5.73
32;1;33;12;10;10;1567029;0;5.73
33;2;23;10;0;20;48236;300;7
